id,store,date,product name,weekly_sales,inventory level,temperature,past promotion of product in lac,demand forecast
1,1,2010-02-05,Blueberry scented candle,1643690.9,0,42.31,2.572,8.106
2,4,2010-02-12,Stainless steel water bottle,1641957.44,1,38.51,2.548,8.106
3,5,2010-02-19,Leather messenger bag,1611968.17,0,39.93,2.514,8.106
4,2,2010-02-26,Organic coconut oil,1409727.59,0,46.63,2.561,8.106
5,3,2010-03-05,Bluetooth wireless earbuds,1554806.68,0,46.5,2.625,8.106
6,2,2010-03-12,Floral patterned throw pillow,1439541.59,0,57.79,2.667,8.106
7,1,2010-03-19,Bamboo cutting board set,1472515.79,0,54.58,2.72,8.106
8,4,2010-03-26,Aromatherapy essential oil diffuser,1404429.92,0,51.45,2.732,8.106
9,5,2010-04-02,Resistance band set,1594968.28,0,62.27,2.719,7.808
10,2,2010-04-09,Ceramic plant pot with saucer,1545418.53,0,65.86,2.77,7.808
11,3,2010-04-16,Insulated lunch box,1466058.28,0,66.32,2.808,7.808
12,1,2010-04-23,Himalayan salt lamp,1391256.12,0,64.84,2.795,7.808
13,4,2010-04-30,Reusable silicone food storage bags,1425100.71,0,67.41,2.78,7.808
14,5,2010-05-07,Handwoven rattan basket,1603955.12,0,72.55,2.835,7.808
15,2,2010-05-14,Yoga mat with carrying strap,1494251.5,0,74.78,2.854,7.808
16,3,2010-05-21,Stainless steel french press coffee maker,1399662.07,0,76.44,2.826,7.808
17,2,2010-05-28,Memory foam travel neck pillow,1432069.95,0,80.44,2.759,7.808
18,1,2010-06-04,Glass meal prep containers set,1615524.71,0,80.69,2.705,7.808
19,4,2010-06-11,Vegan leather wallet,1542561.09,0,80.43,2.668,7.808
20,5,2010-06-18,LED desk lamp with USB charging port,1503284.06,0,84.11,2.637,7.808
21,2,2010-06-25,Blueberry scented candle,1422711.6,0,84.34,2.653,7.808
22,3,2010-07-02,Stainless steel water bottle,1492418.14,0,80.91,2.669,7.787
23,1,2010-07-09,Leather messenger bag,1546074.18,0,80.48,2.642,7.787
24,4,2010-07-16,Organic coconut oil,1448938.92,0,83.15,2.623,7.787
25,5,2010-07-23,Bluetooth wireless earbuds,1385065.2,0,83.36,2.608,7.787
26,2,2010-07-30,Floral patterned throw pillow,1371986.6,0,81.84,2.64,7.787
27,3,2010-08-06,Bamboo cutting board set,1605491.78,0,87.16,2.627,7.787
28,2,2010-08-13,Aromatherapy essential oil diffuser,1508237.76,0,87.0,2.692,7.787
29,1,2010-08-20,Resistance band set,1513080.49,0,86.65,2.664,7.787
30,4,2010-08-27,Ceramic plant pot with saucer,1449142.92,0,85.22,2.619,7.787
31,5,2010-09-03,Insulated lunch box,1540163.53,0,81.21,2.577,7.787
32,2,2010-09-10,Himalayan salt lamp,1507460.69,1,78.69,2.565,7.787
33,3,2010-09-17,Reusable silicone food storage bags,1430378.67,0,82.11,2.582,7.787
34,1,2010-09-24,Handwoven rattan basket,1351791.03,0,80.94,2.624,7.787
35,4,2010-10-01,Yoga mat with carrying strap,1453329.5,0,71.89,2.603,7.838
36,5,2010-10-08,Stainless steel french press coffee maker,1508239.93,0,63.93,2.633,7.838
37,2,2010-10-15,Memory foam travel neck pillow,1459409.1,0,67.18,2.72,7.838
38,3,2010-10-22,Glass meal prep containers set,1345454.0,0,69.86,2.725,7.838
39,2,2010-10-29,Vegan leather wallet,1384209.22,0,69.64,2.716,7.838
40,1,2010-11-05,LED desk lamp with USB charging port,1551659.28,0,58.74,2.689,7.838
41,4,2010-11-12,Blueberry scented candle,1494479.49,0,59.61,2.728,7.838
42,5,2010-11-19,Stainless steel water bottle,1483784.18,0,51.41,2.771,7.838
43,2,2010-11-26,Leather messenger bag,1955624.11,1,64.52,2.735,7.838
44,3,2010-12-03,Organic coconut oil,1548033.78,0,49.27,2.708,7.838
45,1,2010-12-10,Bluetooth wireless earbuds,1682614.26,0,46.33,2.843,7.838
46,4,2010-12-17,Floral patterned throw pillow,1891034.93,0,49.84,2.869,7.838
47,5,2010-12-24,Bamboo cutting board set,2387950.2,0,52.33,2.886,7.838
48,2,2010-12-31,Aromatherapy essential oil diffuser,1367320.01,1,48.43,2.943,7.838
49,3,2011-01-07,Resistance band set,1444732.28,0,48.27,2.976,7.742
50,2,2011-01-14,Ceramic plant pot with saucer,1391013.96,0,35.4,2.983,7.742
51,1,2011-01-21,Insulated lunch box,1327405.42,0,44.04,3.016,7.742
52,4,2011-01-28,Himalayan salt lamp,1316899.31,0,43.83,3.01,7.742
53,5,2011-02-04,Reusable silicone food storage bags,1606629.58,0,42.27,2.989,7.742
54,2,2011-02-11,Handwoven rattan basket,1649614.93,1,36.39,3.022,7.742
55,3,2011-02-18,Yoga mat with carrying strap,1686842.78,0,57.36,3.045,7.742
56,1,2011-02-25,Stainless steel french press coffee maker,1456800.28,0,62.9,3.065,7.742
57,4,2011-03-04,Memory foam travel neck pillow,1636263.41,0,59.58,3.288,7.742
58,5,2011-03-11,Glass meal prep containers set,1553191.63,0,53.56,3.459,7.742
59,2,2011-03-18,Vegan leather wallet,1576818.06,0,62.76,3.488,7.742
60,3,2011-03-25,LED desk lamp with USB charging port,1541102.38,0,69.97,3.473,7.742
61,2,2011-04-01,Blueberry scented candle,1495064.75,0,59.17,3.524,7.682
62,1,2011-04-08,Stainless steel water bottle,1614259.35,0,67.84,3.622,7.682
63,4,2011-04-15,Leather messenger bag,1559889.0,0,71.27,3.743,7.682
64,5,2011-04-22,Organic coconut oil,1564819.81,0,72.99,3.807,7.682
65,2,2011-04-29,Bluetooth wireless earbuds,1455090.69,0,72.03,3.81,7.682
66,3,2011-05-06,Floral patterned throw pillow,1629391.28,0,64.61,3.906,7.682
67,1,2011-05-13,Bamboo cutting board set,1604775.58,0,75.64,3.899,7.682
68,4,2011-05-20,Aromatherapy essential oil diffuser,1428218.27,0,67.63,3.907,7.682
69,5,2011-05-27,Resistance band set,1466046.67,0,77.72,3.786,7.682
70,2,2011-06-03,Ceramic plant pot with saucer,1635078.41,0,83.0,3.699,7.682
71,3,2011-06-10,Insulated lunch box,1588948.32,0,83.13,3.648,7.682
72,2,2011-06-17,Himalayan salt lamp,1532114.86,0,86.41,3.637,7.682
73,1,2011-06-24,Reusable silicone food storage bags,1438830.15,0,83.58,3.594,7.682
74,4,2011-07-01,Handwoven rattan basket,1488538.09,0,85.55,3.524,7.962
75,5,2011-07-08,Yoga mat with carrying strap,1534849.64,0,85.83,3.48,7.962
76,2,2011-07-15,Stainless steel french press coffee maker,1455119.97,0,88.54,3.575,7.962
77,3,2011-07-22,Memory foam travel neck pillow,1396926.82,0,85.77,3.651,7.962
78,1,2011-07-29,Glass meal prep containers set,1352219.79,0,86.83,3.682,7.962
79,4,2011-08-05,Vegan leather wallet,1624383.75,0,91.65,3.684,7.962
80,5,2011-08-12,LED desk lamp with USB charging port,1525147.09,0,90.76,3.638,7.962
81,2,2011-08-19,Blueberry scented candle,1530761.43,0,89.94,3.554,7.962
82,3,2011-08-26,Stainless steel water bottle,1464693.46,0,87.96,3.523,7.962
83,2,2011-09-02,Leather messenger bag,1550229.22,0,87.83,3.533,7.962
84,1,2011-09-09,Organic coconut oil,1540471.24,1,76.0,3.546,7.962
85,4,2011-09-16,Bluetooth wireless earbuds,1514259.78,0,79.94,3.526,7.962
86,5,2011-09-23,Floral patterned throw pillow,1380020.27,0,75.8,3.467,7.962
87,2,2011-09-30,Bamboo cutting board set,1394561.83,0,79.69,3.355,7.962
88,3,2011-10-07,Aromatherapy essential oil diffuser,1630989.95,0,69.31,3.285,7.866
89,1,2011-10-14,Resistance band set,1493525.93,0,71.74,3.274,7.866
90,4,2011-10-21,Ceramic plant pot with saucer,1502562.78,0,63.71,3.353,7.866
91,5,2011-10-28,Insulated lunch box,1445249.09,0,66.57,3.372,7.866
92,2,2011-11-04,Himalayan salt lamp,1697229.58,0,54.98,3.332,7.866
93,3,2011-11-11,Reusable silicone food storage bags,1594938.89,0,59.11,3.297,7.866
94,2,2011-11-18,Handwoven rattan basket,1539483.7,0,62.25,3.308,7.866
95,1,2011-11-25,Yoga mat with carrying strap,2033320.66,1,60.14,3.236,7.866
96,4,2011-12-02,Stainless steel french press coffee maker,1584083.95,0,48.91,3.172,7.866
97,5,2011-12-09,Memory foam travel neck pillow,1799682.38,0,43.93,3.158,7.866
98,2,2011-12-16,Glass meal prep containers set,1881176.67,0,51.63,3.159,7.866
99,3,2011-12-23,Vegan leather wallet,2270188.99,0,47.96,3.112,7.866
100,1,2011-12-30,LED desk lamp with USB charging port,1497462.72,1,44.55,3.129,7.866
101,4,2012-01-06,Blueberry scented candle,1550369.92,0,49.01,3.157,7.348
102,5,2012-01-13,Stainless steel water bottle,1459601.17,0,48.53,3.261,7.348
103,2,2012-01-20,Leather messenger bag,1394393.84,0,54.11,3.268,7.348
104,3,2012-01-27,Organic coconut oil,1319325.59,0,54.26,3.29,7.348
105,2,2012-02-03,Bluetooth wireless earbuds,1636339.65,0,56.55,3.36,7.348
106,1,2012-02-10,Floral patterned throw pillow,1802477.43,1,48.02,3.409,7.348
107,4,2012-02-17,Bamboo cutting board set,1819870.0,0,45.32,3.51,7.348
108,5,2012-02-24,Aromatherapy essential oil diffuser,1539387.83,0,57.25,3.555,7.348
109,2,2012-03-02,Resistance band set,1688420.76,0,60.96,3.63,7.348
110,3,2012-03-09,Ceramic plant pot with saucer,1675431.16,0,58.76,3.669,7.348
111,2,2012-03-16,Insulated lunch box,1677472.78,0,64.74,3.734,7.348
112,1,2012-03-23,Himalayan salt lamp,1511068.07,0,65.93,3.787,7.348
113,4,2012-03-30,Reusable silicone food storage bags,1649604.63,0,67.61,3.845,7.348
114,5,2012-04-06,Handwoven rattan basket,1899676.88,0,70.43,3.891,7.143
115,2,2012-04-13,Yoga mat with carrying strap,1621031.7,0,69.07,3.891,7.143
116,3,2012-04-20,Stainless steel french press coffee maker,1521577.87,0,66.76,3.877,7.143
117,1,2012-04-27,Memory foam travel neck pillow,1468928.37,0,67.23,3.814,7.143
118,4,2012-05-04,Glass meal prep containers set,1684519.99,0,75.55,3.749,7.143
119,5,2012-05-11,Vegan leather wallet,1611096.05,0,73.77,3.688,7.143
120,2,2012-05-18,LED desk lamp with USB charging port,1595901.87,0,70.33,3.63,7.143
121,3,2012-05-25,Blueberry scented candle,1555444.55,0,77.22,3.561,7.143
122,2,2012-06-01,Stainless steel water bottle,1624477.58,0,77.95,3.501,7.143
123,1,2012-06-08,Leather messenger bag,1697230.96,0,78.3,3.452,7.143
124,4,2012-06-15,Organic coconut oil,1630607.0,0,79.35,3.393,7.143
125,5,2012-06-22,Bluetooth wireless earbuds,1527845.81,0,78.39,3.346,7.143
126,2,2012-06-29,Floral patterned throw pillow,1540421.49,0,84.88,3.286,7.143
127,3,2012-07-06,Bamboo cutting board set,1769854.16,0,81.57,3.227,6.908
128,1,2012-07-13,Aromatherapy essential oil diffuser,1527014.04,0,77.12,3.256,6.908
129,4,2012-07-20,Resistance band set,1497954.76,0,80.42,3.311,6.908
130,5,2012-07-27,Ceramic plant pot with saucer,1439123.71,0,82.66,3.407,6.908
131,2,2012-08-03,Insulated lunch box,1631135.79,0,86.11,3.417,6.908
132,3,2012-08-10,Himalayan salt lamp,1592409.97,0,85.05,3.494,6.908
133,2,2012-08-17,Reusable silicone food storage bags,1597868.05,0,84.85,3.571,6.908
134,1,2012-08-24,Handwoven rattan basket,1494122.38,0,77.66,3.62,6.908
135,4,2012-08-31,Yoga mat with carrying strap,1582083.4,0,80.49,3.638,6.908
136,5,2012-09-07,Stainless steel french press coffee maker,1661767.33,1,83.96,3.73,6.908
137,2,2012-09-14,Memory foam travel neck pillow,1517428.87,0,74.97,3.717,6.908
138,3,2012-09-21,Glass meal prep containers set,1506126.06,0,69.87,3.721,6.908
139,1,2012-09-28,Vegan leather wallet,1437059.26,0,76.08,3.666,6.908
140,4,2012-10-05,LED desk lamp with USB charging port,1670785.97,0,68.55,3.617,6.573
141,5,2012-10-12,Blueberry scented candle,1573072.81,0,62.99,3.601,6.573
142,2,2012-10-19,Stainless steel water bottle,1508068.77,0,67.97,3.594,6.573
143,3,2012-10-26,Leather messenger bag,1493659.74,0,69.16,3.506,6.573
144,2,2010-02-05,Organic coconut oil,2136989.46,0,40.19,2.572,8.324
145,1,2010-02-12,Bluetooth wireless earbuds,2137809.5,1,38.49,2.548,8.324
146,4,2010-02-19,Floral patterned throw pillow,2124451.54,0,39.69,2.514,8.324
147,5,2010-02-26,Bamboo cutting board set,1865097.27,0,46.1,2.561,8.324
148,2,2010-03-05,Aromatherapy essential oil diffuser,1991013.13,0,47.17,2.625,8.324
149,3,2010-03-12,Resistance band set,1990483.78,0,57.56,2.667,8.324
150,1,2010-03-19,Ceramic plant pot with saucer,1946070.88,0,54.52,2.72,8.324
151,4,2010-03-26,Insulated lunch box,1750197.81,0,51.26,2.732,8.324
152,5,2010-04-02,Himalayan salt lamp,2066187.72,0,63.27,2.719,8.2
153,2,2010-04-09,Reusable silicone food storage bags,1954689.21,0,65.41,2.77,8.2
154,3,2010-04-16,Handwoven rattan basket,1874957.94,0,68.07,2.808,8.2
155,2,2010-04-23,Yoga mat with carrying strap,1821990.93,0,65.11,2.795,8.2
156,1,2010-04-30,Stainless steel french press coffee maker,1802450.29,0,66.98,2.78,8.2
157,4,2010-05-07,Memory foam travel neck pillow,2042581.71,0,71.28,2.835,8.2
158,5,2010-05-14,Glass meal prep containers set,1880752.36,0,73.31,2.854,8.2
159,2,2010-05-21,Vegan leather wallet,1896937.1,0,74.83,2.826,8.2
160,3,2010-05-28,LED desk lamp with USB charging port,1957113.89,0,81.13,2.759,8.2
161,1,2010-06-04,Blueberry scented candle,2102539.93,0,81.81,2.705,8.2
162,4,2010-06-11,Stainless steel water bottle,2025538.76,0,83.4,2.668,8.2
163,5,2010-06-18,Leather messenger bag,2001636.96,0,85.81,2.637,8.2
164,2,2010-06-25,Organic coconut oil,1939927.09,0,86.26,2.653,8.2
165,3,2010-07-02,Bluetooth wireless earbuds,2003940.64,0,82.74,2.669,8.099
166,2,2010-07-09,Floral patterned throw pillow,1880902.62,0,82.59,2.642,8.099
167,1,2010-07-16,Bamboo cutting board set,1845879.79,0,85.32,2.623,8.099
168,4,2010-07-23,Aromatherapy essential oil diffuser,1781717.71,0,87.66,2.608,8.099
169,5,2010-07-30,Resistance band set,1804246.16,0,83.49,2.64,8.099
170,2,2010-08-06,Ceramic plant pot with saucer,1991909.98,0,89.53,2.627,8.099
171,3,2010-08-13,Insulated lunch box,1895601.05,0,89.05,2.692,8.099
172,1,2010-08-20,Himalayan salt lamp,1964335.23,0,88.7,2.664,8.099
173,4,2010-08-27,Reusable silicone food storage bags,1863840.49,0,87.12,2.619,8.099
174,5,2010-09-03,Handwoven rattan basket,1904608.09,0,81.83,2.577,8.099
175,2,2010-09-10,Yoga mat with carrying strap,1839128.83,1,79.09,2.565,8.099
176,3,2010-09-17,Stainless steel french press coffee maker,1793903.6,0,82.05,2.582,8.099
177,2,2010-09-24,Memory foam travel neck pillow,1724557.22,0,81.79,2.624,8.099
178,1,2010-10-01,Glass meal prep containers set,1827440.43,0,69.24,2.603,8.163
179,4,2010-10-08,Vegan leather wallet,1849921.44,0,63.19,2.633,8.163
180,5,2010-10-15,LED desk lamp with USB charging port,1794355.49,0,65.8,2.72,8.163
181,2,2010-10-22,Blueberry scented candle,1737947.64,0,68.5,2.725,8.163
182,3,2010-10-29,Stainless steel water bottle,1802755.11,0,66.24,2.716,8.163
183,1,2010-11-05,Leather messenger bag,1939061.41,0,57.85,2.689,8.163
184,4,2010-11-12,Organic coconut oil,1916812.74,0,59.69,2.728,8.163
185,5,2010-11-19,Bluetooth wireless earbuds,1956739.17,0,50.81,2.771,8.163
186,2,2010-11-26,Floral patterned throw pillow,2658725.29,1,62.98,2.735,8.163
187,3,2010-12-03,Bamboo cutting board set,2015781.27,0,49.33,2.708,8.163
188,2,2010-12-10,Aromatherapy essential oil diffuser,2378726.55,0,45.5,2.843,8.163
189,1,2010-12-17,Resistance band set,2609166.75,0,47.55,2.869,8.163
190,4,2010-12-24,Ceramic plant pot with saucer,3436007.68,0,49.97,2.886,8.163
191,5,2010-12-31,Insulated lunch box,1750434.55,1,47.3,2.943,8.163
192,2,2011-01-07,Himalayan salt lamp,1758050.79,0,44.69,2.976,8.028
193,3,2011-01-14,Reusable silicone food storage bags,1744193.58,0,33.02,2.983,8.028
194,1,2011-01-21,Handwoven rattan basket,1751384.9,0,41.4,3.016,8.028
195,4,2011-01-28,Yoga mat with carrying strap,1695371.68,0,42.83,3.01,8.028
196,5,2011-02-04,Stainless steel french press coffee maker,1929346.23,0,38.25,2.989,8.028
197,2,2011-02-11,Memory foam travel neck pillow,2168041.61,1,33.19,3.022,8.028
198,3,2011-02-18,Glass meal prep containers set,2080884.82,0,57.83,3.045,8.028
199,2,2011-02-25,Vegan leather wallet,1833511.08,0,60.8,3.065,8.028
200,1,2011-03-04,LED desk lamp with USB charging port,1981607.78,0,57.77,3.288,8.028
201,4,2011-03-11,Blueberry scented candle,1879107.31,0,52.7,3.459,8.028
202,5,2011-03-18,Stainless steel water bottle,1902557.66,0,62.32,3.488,8.028
203,2,2011-03-25,Leather messenger bag,1766162.05,0,69.42,3.473,8.028
204,3,2011-04-01,Organic coconut oil,1800171.36,0,55.43,3.524,7.931
205,1,2011-04-08,Bluetooth wireless earbuds,1847552.61,0,67.0,3.622,7.931
206,4,2011-04-15,Floral patterned throw pillow,1856467.84,0,69.48,3.743,7.931
207,5,2011-04-22,Bamboo cutting board set,1886339.6,0,69.39,3.807,7.931
208,2,2011-04-29,Aromatherapy essential oil diffuser,1745545.28,0,69.21,3.81,7.931
209,3,2011-05-06,Resistance band set,1837743.6,0,61.48,3.906,7.931
210,2,2011-05-13,Ceramic plant pot with saucer,1838513.07,0,74.61,3.899,7.931
211,1,2011-05-20,Insulated lunch box,1688281.86,0,67.14,3.907,7.931
212,4,2011-05-27,Himalayan salt lamp,1797732.56,0,76.42,3.786,7.931
213,5,2011-06-03,Reusable silicone food storage bags,1933756.21,0,83.07,3.699,7.931
214,2,2011-06-10,Handwoven rattan basket,1929153.16,0,83.4,3.648,7.931
215,3,2011-06-17,Yoga mat with carrying strap,1953771.99,0,86.53,3.637,7.931
216,2,2011-06-24,Stainless steel french press coffee maker,1790925.8,0,85.17,3.594,7.931
217,1,2011-07-01,Memory foam travel neck pillow,1866243.0,0,85.69,3.524,7.852
218,4,2011-07-08,Glass meal prep containers set,1853161.99,0,87.7,3.48,7.852
219,5,2011-07-15,Vegan leather wallet,1785187.29,0,89.83,3.575,7.852
220,2,2011-07-22,LED desk lamp with USB charging port,1743816.41,0,89.34,3.651,7.852
221,3,2011-07-29,Blueberry scented candle,1680693.06,0,90.07,3.682,7.852
222,1,2011-08-05,Stainless steel water bottle,1876704.26,0,93.34,3.684,7.852
223,4,2011-08-12,Leather messenger bag,1812768.26,0,91.58,3.638,7.852
224,5,2011-08-19,Organic coconut oil,1844094.59,0,89.86,3.554,7.852
225,2,2011-08-26,Bluetooth wireless earbuds,1821139.91,0,90.45,3.523,7.852
226,3,2011-09-02,Floral patterned throw pillow,1809119.7,0,89.64,3.533,7.852
227,2,2011-09-09,Bamboo cutting board set,1748000.65,1,77.97,3.546,7.852
228,1,2011-09-16,Aromatherapy essential oil diffuser,1691439.52,0,78.85,3.526,7.852
229,4,2011-09-23,Resistance band set,1669299.78,0,75.58,3.467,7.852
230,5,2011-09-30,Ceramic plant pot with saucer,1650394.44,0,78.14,3.355,7.852
231,2,2011-10-07,Insulated lunch box,1837553.43,0,69.92,3.285,7.441
232,3,2011-10-14,Himalayan salt lamp,1743882.19,0,71.67,3.274,7.441
233,1,2011-10-21,Reusable silicone food storage bags,1834680.25,0,64.53,3.353,7.441
234,4,2011-10-28,Handwoven rattan basket,1769296.25,0,65.87,3.372,7.441
235,5,2011-11-04,Yoga mat with carrying strap,1959707.9,0,55.53,3.332,7.441
236,2,2011-11-11,Stainless steel french press coffee maker,1920725.15,0,59.33,3.297,7.441
237,3,2011-11-18,Memory foam travel neck pillow,1902762.5,0,62.01,3.308,7.441
238,2,2011-11-25,Glass meal prep containers set,2614202.3,1,56.36,3.236,7.441
239,1,2011-12-02,Vegan leather wallet,1954952.0,0,48.74,3.172,7.441
240,4,2011-12-09,LED desk lamp with USB charging port,2290549.32,0,41.76,3.158,7.441
241,5,2011-12-16,Blueberry scented candle,2432736.52,0,50.13,3.159,7.441
242,2,2011-12-23,Stainless steel water bottle,3224369.8,0,46.66,3.112,7.441
243,3,2011-12-30,Leather messenger bag,1874226.52,1,44.57,3.129,7.441
244,1,2012-01-06,Organic coconut oil,1799520.14,0,46.75,3.157,7.057
245,4,2012-01-13,Bluetooth wireless earbuds,1744725.48,0,45.99,3.261,7.057
246,5,2012-01-20,Floral patterned throw pillow,1711769.11,0,51.7,3.268,7.057
247,2,2012-01-27,Bamboo cutting board set,1660906.14,0,50.5,3.29,7.057
248,3,2012-02-03,Aromatherapy essential oil diffuser,1935299.94,0,55.21,3.36,7.057
